season,week,avg_time_to_throw,pass_yards,pass_touchdowns,completions,attempts,interceptions,aggressiveness,completion_percentage,expected_completion_percentage,away_rest,home_rest,wind,temp,home_advantage,dome
2023,8,2.2734499999999995,324,2,31,40,1,20.0,77.5,71.33763402700424,4,4,10.0,66.0,1,0
2023,9,2.82221052631579,258,1,26,38,1,18.421052631578945,68.42105263157895,59.48401340528539,10,7,5.0,51.0,0,0
2023,10,2.900346153846154,177,1,15,26,2,7.6923076923076925,57.692307692307686,69.08757354204471,15,8,10.0,49.0,1,0
2023,11,2.8288124999999997,275,3,20,32,1,6.25,62.5,63.927531940862536,7,6,9.0,40.0,1,0
2023,12,2.726960784313726,339,2,29,51,1,15.68627450980392,56.86274509803921,64.2169429537128,7,6,6.0,47.0,0,0
2023,14,3.331317073170732,233,1,23,42,1,19.047619047619047,54.761904761904766,55.4149200518926,14,7,5.0,45.0,0,0
2023,15,3.0632666666666664,94,1,7,15,0,13.333333333333334,46.666666666666664,61.07298950354259,7,7,9.0,48.0,1,0
2023,16,2.8153809523809517,237,1,15,21,1,14.285714285714285,71.42857142857143,67.27470940067654,6,9,0.0,48.0,0,1
2023,17,2.7027666666666668,169,0,15,30,1,10.0,50.0,65.17896667122841,7,8,4.0,35.0,1,0
2023,18,2.8514736842105264,359,2,30,38,2,13.157894736842104,78.94736842105263,66.61997719814903,7,7,6.0,63.0,0,0
2023,19,2.5102333333333338,203,3,21,30,0,6.666666666666667,70.0,71.05221575746934,9,8,10.0,17.0,1,0
2023,20,2.720205128205128,186,1,26,39,0,5.128205128205128,66.66666666666666,72.81227150024512,8,6,11.0,25.0,1,0
2024,1,2.654956521739131,232,2,18,23,0,17.391304347826086,78.26086956521739,74.01782608695655,7,7,20.0,61.0,1,0
2024,2,2.9488421052631577,139,1,13,19,0,10.526315789473683,68.42105263157895,65.09368421052632,4,4,3.0,86.0,0,0
2024,3,2.7284333333333346,263,4,23,30,0,6.666666666666667,76.66666666666667,69.08166666666666,8,11,5.0,68.0,1,0
2024,4,3.141241379310345,180,0,16,29,0,24.13793103448276,55.172413793103445,51.33413793103448,6,7,8.0,68.0,0,0
2024,5,3.0238,131,1,9,30,0,20.0,30.0,48.625666666666675,7,7,0.0,48.0,0,0
2024,6,2.82184,215,2,19,25,0,16.0,76.0,63.49520000000002,8,8,14.0,49.0,0,0
2024,7,2.5770303030303032,323,2,21,33,0,33.33333333333333,63.63636363636363,55.32818181818182,7,6,12.0,66.0,1,0
2024,8,2.7882058823529414,283,2,24,34,1,14.705882352941178,70.58823529411765,65.44411764705882,7,7,14.0,55.0,0,0
2024,9,2.615894736842105,235,3,25,39,1,2.564102564102564,64.1025641025641,69.57,7,7,9.0,54.0,1,0
2024,10,2.542540540540541,280,0,22,37,2,10.81081081081081,59.45945945945946,64.95702702702701,7,7,0.0,48.0,0,0
2024,11,2.7566999999999995,262,1,27,40,1,7.5,67.5,66.32374999999999,7,7,3.0,50.0,1,0
2024,13,2.8607058823529417,148,2,13,17,0,11.76470588235294,76.47058823529412,66.91176470588235,7,14,11.0,28.0,1,0
2024,14,3.0233243243243235,342,3,22,37,0,13.513513513513514,59.45945945945946,67.35432432432434,7,7,0.0,48.0,0,1
2024,15,3.398735294117647,362,2,23,34,0,23.52941176470588,67.64705882352942,61.97735294117649,7,10,0.0,48.0,0,1
2024,16,3.515689655172413,154,1,16,29,1,31.03448275862069,55.172413793103445,55.32551724137931,7,7,2.0,14.0,1,0
2024,17,2.910481481481481,182,2,16,27,0,29.629629629629623,59.25925925925925,59.79370370370369,7,7,15.0,54.0,1,0
2024,19,2.6773076923076924,272,2,20,26,0,7.6923076923076925,76.92307692307693,68.19461538461537,7,7,10.0,32.0,1,0
2024,20,2.4305000000000003,127,0,16,22,0,4.545454545454546,72.72727272727273,71.36999999999999,8,7,4.0,19.0,1,0
2024,21,2.9186470588235283,237,2,22,34,0,11.76470588235294,64.70588235294117,64.47676470588235,7,8,8.0,31.0,0,0
2025,1,2.982733333333333,394,2,33,46,0,6.521739130434782,71.73913043478261,68.11369565217392,7,7,8.0,58.0,1,0
2025,2,2.93752,148,0,14,25,0,12.0,56.00000000000001,66.5584,7,7,3.0,80.0,0,0
2025,3,2.6180357142857145,213,3,22,28,0,10.714285714285714,78.57142857142857,71.68999999999998,4,4,7.0,68.0,1,0
2025,4,2.7365,209,2,16,22,1,18.181818181818183,72.72727272727273,70.71863636363636,7,10,7.0,73.0,1,0
2025,5,3.267870967741936,253,2,22,31,1,19.35483870967742,70.96774193548387,61.85967741935484,7,7,3.0,66.0,1,0
2025,6,2.8255769230769228,180,2,15,26,2,23.076923076923077,57.692307692307686,58.90153846153846,8,15,0.0,48.0,0,0
2025,8,2.8951578947368417,163,1,12,19,0,15.789473684210526,63.1578947368421,71.09842105263158,13,7,9.0,63.0,0,0
2025,9,2.6351153846153847,273,1,23,26,0,0.0,88.46153846153845,77.09769230769228,6,7,6.0,54.0,1,0
2025,10,3.5322999999999993,306,2,28,40,1,12.5,70.0,65.66300000000001,7,10,6.0,84.0,0,0
2025,11,2.8858333333333333,317,3,19,30,2,13.333333333333334,63.33333333333333,66.859,7,7,20.0,38.0,1,0
2025,12,2.554500000000001,253,0,24,34,2,5.88235294117647,70.58823529411765,69.16941176470587,4,4,0.0,48.0,0,0
2025,13,2.4589999999999996,123,1,15,23,1,8.695652173913043,65.21739130434783,74.60565217391306,10,7,16.0,34.0,0,0
2025,14,3.084214285714285,251,3,22,28,0,14.285714285714285,78.57142857142857,68.05749999999999,10,7,12.0,31.0,1,0
2025,15,3.1232857142857133,193,3,19,28,0,7.142857142857142,67.85714285714286,64.09392857142856,7,13,6.0,32.0,0,0
2025,16,2.981526315789474,130,0,12,19,0,5.263157894736842,63.1578947368421,71.19736842105263,7,7,16.0,25.0,0,0
2025,17,2.462742857142857,262,0,23,35,0,14.285714285714285,65.71428571428571,64.882,8,7,6.0,38.0,1,0
2025,19,2.618485714285714,273,1,28,35,0,5.714285714285714,80.0,71.326,7,7,6.0,62.0,0,0
2025,20,2.8550256410256405,283,3,25,39,2,7.6923076923076925,64.1025641025641,70.44102564102566,6,13,5.0,36.0,0,0
